0	0	0.25	width	Front left	x	y	Front right	x	y
0.426187	19.214696	0.105274			-2.6097442527	19.3966889366		3.3570385968	20.0271668717
0.414954	19.314062	0.119879			-2.6233113796	19.4516973272		3.333627303	20.1692497866
0.402296	19.413257	0.133951			-2.6376053045	19.5081256407		3.3086465228	20.3094303306
0.388274	19.512269	0.147434			-2.65263007	19.5661432702		3.2822776133	20.4475460104
0.372949	19.611087	0.160276			-2.6683961595	19.6259066112		3.2547034842	20.5834506628
0.35639	19.709706	0.172426			-2.6849107306	19.6875730828		3.2261178531	20.7170103478
0.338671	19.808123	0.183835			-2.7021792879	19.751294076		3.1967199997	20.8481018053
0.319869	19.906339	0.194459			-2.7202059409	19.8172078973		3.1667081811	20.9766224564
0.300066	20.004358	0.204255			-2.7389899625	19.885451076		3.1362842595	21.1024772943
0.279345	20.102187	0.213186			-2.758527818	19.9561433702		3.1056429749	21.2255924286
0.257795	20.199837	0.221215			-2.7788073288	20.0294072587		3.0749821517	21.3458983214
0.235508	20.297322	0.228311			-2.7998085185	20.1053490002		3.0444918419	21.4633450598
0.212576	20.394657	0.234446			-2.8215056497	20.184066063		3.0143534729	21.5778911241
0.189095	20.491861	0.239597			-2.8438616494	20.2656443713		2.9847404914	21.6895113189
0.165163	20.588955	0.243742			-2.8668299295	20.3501687453		2.9558202291	21.7981829478
0.140878	20.685961	0.246865			-2.8903544155	20.4377070112		2.9277452075	21.9038982593
0.11634	20.782904	0.248953			-2.9143674539	20.5283213437		2.9006580814	22.0066575789
0.09165	20.879808	0.25			-2.9387892448	20.6220523331		2.8746852855	22.1064760886
0.06691	20.976699	0.25			-2.9635292448	20.7189433331		2.8499452855	22.2033670886
0.04222	21.073603	0.248953			-2.9884874539	20.8190203437		2.8265380814	22.2973565789
0.017682	21.170546	0.246865			-3.0135504155	20.9222920112		2.8045492075	22.3884832593
-0.006603	21.267553	0.243742			-3.0385959295	21.0287667453		2.7840542291	22.4767809478
-0.030535	21.364646	0.239597			-3.0634916494	21.1384293713		2.7651104914	22.5622963189
-0.054016	21.46185	0.234446			-3.0880976497	21.251259063		2.7477614729	22.6450841241
-0.076948	21.559185	0.228311			-3.1122645185	21.3672120002		2.7320358419	22.7252080598
-0.099235	21.65667	0.221215			-3.1358373288	21.4862402587		2.7179521517	22.8027313214
-0.120785	21.75432	0.213186			-3.158657818	21.6082763702		2.7055129749	22.8777254286
-0.141506	21.852149	0.204255			-3.1805619625	21.733242076		2.6947122595	22.9502682943
-0.161309	21.950169	0.194459			-3.2013839409	21.8610378973		2.6855301811	23.0204524564
-0.180111	22.048385	0.183835			-3.2209612879	21.991556076		2.6779379997	23.0883638053
-0.19783	22.146802	0.172426			-3.2391307306	22.1246690828		2.6718978531	23.1541063478
-0.214389	22.245421	0.160276			-3.2557341595	22.2602406112		2.6673654842	23.2177846628
-0.229713	22.344239	0.147434			-3.27061707	22.3981132702		2.6642906133	23.2795160104
-0.243736	22.44325	0.133951			-3.2836373045	22.5381186407		2.6626145228	23.3394233306
