FLX	FLY	FRX	FRY
-2.607245649	51.20973537	3.221356491	52.63360232
-2.63185165	51.32256506	3.204007473	52.71639012
-2.656018519	51.438518	3.188281842	52.79651406
-2.679591329	51.55754626	3.174198152	52.87403732
-2.702411818	51.67958237	3.161758975	52.94903143
-2.724315963	51.80454808	3.15095826	53.02157429
-2.745138941	51.9323429	3.141775181	53.09175746
-2.764716288	52.06286108	3.134183	53.15966881
-2.782884731	52.19597508	3.128143853	53.22541235
-2.79948816	52.33154661	3.123611484	53.28909066
-2.81437207	52.46941927	3.120535613	53.35082201
-2.827391305	52.60942464	3.118860523	53.41072933
-2.83841338	52.75138633	3.118525303	53.46893879
-2.847313253	52.89510994	3.119469597	53.52558787
-2.853980487	53.04039438	3.121631721	53.58081898
-2.858322206	53.18702107	3.12494665	53.6347864
-2.860259243	53.33477241	3.1293552	53.68764467
-2.859732108	53.48341811	3.134798085	53.73955825
-2.856697057	53.63272581	3.141223099	53.79069355
-2.85113298	53.78245448	3.148579137	53.84122954
-2.84303789	53.93236715	3.156821836	53.89133947
-2.832430463	54.0822194	3.165912299	53.94120839
-2.819348124	54.23177896	3.175819348	53.99101562
-2.803852212	54.38080726	3.18651488	54.04095126
-2.786018169	54.52907788	3.197982231	54.09119752
-2.765947255	54.67636311	3.210205061	54.14194427
-2.743752447	54.8224501	3.223178401	54.19337438
-2.719566672	54.96713425	3.236900015	54.2456742
-2.693538267	55.11022025	3.251371957	54.29902212
